sample_id,source,gid,text,eval_5gram_overlap,text_hash,word_len,char_len,n_lines,avg_word_len,archaic_rate,punctuation_rate,avg_line_words,accessible_score,formal_score
d_gutenberg_formal_0001,gutenberg_poetry_formal_v0,5184,"With thy chosen life-companion,
With thy suitor, Ilmarinen.
Little hast thou looked about thee,
Hast not raised thine eyes above thee,
Beauteous maiden of the Northland,
Hast thou made a rueful bargain,
Full of wailing thine engagement,
And thy marriage full of sorrow,
That thy father's ancient cottage
Thou art leaving now forever,",0.0,574236c620687d83,54,333,10,5.0,0.2777777777777778,0.03303303303303303,5.4,-5.866288288288288,5.866288288288288
d_gutenberg_formal_0002,gutenberg_poetry_formal_v0,5184,"Hast exchanged thy loving father,
Thou hast left thy faithful mother
For the mother of thy husband;
Hast exchanged thy loving brother,
Hast renounced thy gentle sister,
For the kindred of thy suitor;
Hast exchanged thy snow-white covers
For the rocky couch of sorrow;
Hast exchanged these crystal waters",0.0,0ad1c180a82817b2,50,303,9,4.96,0.28,0.0231023102310231,5.555555555555555,-5.8315379537953795,5.8315379537953795
d_gutenberg_formal_0003,gutenberg_poetry_formal_v0,4072,"Thou hast seen with thine eyes
With what cunning of art
Thou wast wrought in what wise,
Who hath given, who hath sold it thee,
Hath the wilderness told it thee?
Hast thou learnt of the sea?",0.0,70be88bb4e7f2225,37,189,6,4.0,0.35135135135135137,0.026455026455026454,6.166666666666667,-5.718720863720864,5.718720863720864
d_gutenberg_formal_0004,gutenberg_poetry_formal_v0,38550,"All hindering self-ruth refusing,
Thou didst raise thy funeral pyre,
Thou didst hovering i' the fire,
From amidst the perfum'd flame
Spring up, immortal as thy fame.
Thou didst lift thy comely head,
Ev'ry moulting feather shed;
Thou didst raise thy radiant breast",0.0,69e083e96e3c3237,44,263,8,4.840909090909091,0.2727272727272727,0.030418250950570342,5.5,-5.706291047355686,5.706291047355686
d_gutenberg_formal_0005,gutenberg_poetry_formal_v0,5186,"Thou hast left thy faithful mother
For the mother of thy husband;
Hast exchanged thy loving brother,
Hast renounced thy gentle sister,
For the kindred of thy suitor;
Hast exchanged thy snow-white covers
For the rocky couch of sorrow;",0.0,e0ec922a595cbaf5,40,233,7,4.725,0.275,0.02575107296137339,5.714285714285714,-5.627573574494176,5.627573574494176
d_gutenberg_formal_0006,gutenberg_poetry_formal_v0,25953,"""Weep thou, weep thou, youthful maiden,
When thou weepest, weep thou sorely;
If thou weepest not yet freely,
Thou shalt weep when thou returnest,
When to mother's house thou comest,
And thou find'st thy aged mother
Suffocated in the cowshed,
In her dying lap a straw-sheaf.
""Weep thou, weep thou, youthful maiden,
When thou weepest, weep thou sorely.
If thou weepest yet not freely,
Thou shalt weep when thou returnest,",0.0,5d36a36d176830d8,71,419,12,4.647887323943662,0.2676056338028169,0.04295942720763723,5.916666666666667,-5.542785051598372,5.542785051598372
d_gutenberg_formal_0007,gutenberg_poetry_formal_v0,25953,"Thou wast worst of all the cowherds,
Hast destroyed thy mother's children,
And disgraced thy very sister,
All the horses hast thou crippled,
All the foals hast thou outwearied,
In the swamps or stony places,",0.0,675c4944316e18ad,35,207,6,4.771428571428571,0.2571428571428571,0.028985507246376812,5.833333333333333,-5.520113871635611,5.520113871635611
d_gutenberg_formal_0008,gutenberg_poetry_formal_v0,18500,"Thou hast left me ever, Jamie!
Thou hast left me ever.
Aften hast thou vow'd that death
Only should us sever;
Now thou's left thy lass for ay--
I maun see thee never, Jamie,
I'll see thee never!
Thou hast me forsaken, Jamie!
Thou hast me forsaken;
Thou hast me forsaken, Jamie!
Thou hast me forsaken.
Thou canst love anither jo,",0.0,29dd4337008b526e,61,328,12,4.131147540983607,0.29508196721311475,0.04878048780487805,5.083333333333333,-5.4375199920032,5.4375199920032
d_gutenberg_formal_0009,gutenberg_poetry_formal_v0,1894,"The third assistant
House-rent
The resident at the school
Otiorhynchus laevigatus, _Dhl_.  Otiorhynchus Pinastri, _Fabr_.
Otiorhynchus ovatus.  Staphylinus maxillosus.  Byrrhus pillula.
b.  _Neuroptera_.  Limnophilus lineola, _Schrank_.
_Felices_.  Cystopteris fragilis.
_Graminae_.  Festuca uniglumis.
_Cyperaceae_.  Carea filiformis.  Carea caespitosa.  Eriophorum
caespitosum.
_Juncaceae_.  Luzula spicata.  Luzula campestris.
_Salicineae_.  Salix polaris.",0.0,5c8fe7d816906252,48,459,12,7.4375,0.0,0.054466230936819175,4.0,-5.435182461873638,5.435182461873638
d_gutenberg_formal_0010,gutenberg_poetry_formal_v0,5185,"""O, thou ancient Wainamoinen,
Senseless hero of the Northland,
Falsely hast thou rendered judgment.
In thy years, for greater follies,
Greater sins and misdemeanors,
Thou wert not unjustly punished.
In thy former years of trouble,
When thou gavest thine own brother,
For thy selfish life a ransom,",0.0,e88fc0aaa714f70c,47,297,9,5.085106382978723,0.2127659574468085,0.037037037037037035,5.222222222222222,-5.419109535066982,5.419109535066982
