sample_id,source,gid,text,eval_5gram_overlap,text_hash,word_len,char_len,n_lines,avg_word_len,archaic_rate,punctuation_rate,avg_line_words,accessible_score,formal_score
d_gutenberg_accessible_0001,gutenberg_poetry_accessible_v0,16059,"--¡Ày, probe Xuàna de cuèrpo garrido!
¡Ày, probe Xuàna de cuèrpo galàno!
¿Dònde le dèxas al tù buen amigo?
¿Dònde le dèxas al tù buen amàdo?
--¡Muèrto le dèxo á la orìlla del rìo,
muèrto le dèxo á la orìlla del vàdo!
--¿Cuànto me dàs, volverètelo vìvo?",0.0,e237a8f9a202ab1d,67,252,7,2.328358208955224,0.0,0.06349206349206349,9.571428571428571,-1.8039777303956408,1.8039777303956408
d_gutenberg_accessible_0002,gutenberg_poetry_accessible_v0,30282,"“We haf standen her syn ros þe su{n}ne,
& no mo{n} byddeȝ v{us} do, ryȝt noȝt.”
“Gos i{n}-to my vyne, dotȝ þat ȝe co{n}ne.”
So sayde þe lorde & made hit toȝt.
“What resonabele hyre be naȝt be ru{n}ne,
I yow pray i{n} dede & þoȝte.”",0.0,0b19651dd0d9ca68,59,231,6,2.406779661016949,0.0,0.03896103896103896,9.833333333333334,-1.8176678406339422,1.8176678406339422
d_gutenberg_accessible_0003,gutenberg_poetry_accessible_v0,41810,"Y luègo el estrépito crèce
Confùso y cambiàdo en un sòn, _etc._
Ropàjes sutìles
Adòrno le sòn,
Y en èllos duplìca
Sus lùces el sòl.
Plumas, sombrerètes,
Lunàres y rìzos
Jamás en s[u a]dòrno
Fueron admitìdos.
Escondìdo en el trònco d[e u]n árbol.
Yo también soy cautìvo;
También yò, si tuvièra",0.0,613ee11862fa7d2a,80,292,13,2.475,0.0,0.03424657534246575,6.153846153846154,-1.8563777660695469,1.8563777660695469
d_gutenberg_accessible_0004,gutenberg_poetry_accessible_v0,30282,"He calde me to hys bon{er}té,
‘Cu{m} hyder to me my le{m}man swete,
For mote ne spot is non i{n} þe:’
He gef me myȝt & als bewté.
I{n} hys blod he wesch my wede on dese,
& coronde clene i{n} v{er}gynté,",0.0,0dded7670fb63e01,52,202,6,2.576923076923077,0.0,0.0297029702970297,8.666666666666666,-1.8832520944402134,1.8832520944402134
d_gutenberg_accessible_0005,gutenberg_poetry_accessible_v0,30282,"Þat sy{n}neȝ þe{n}ne new, ȝif hy{m} repente,
Bot w{i}t{h} sorȝ & syt he mot hit craue,
& byde þe payne þer-to is bent,
Bot resou{n} of ryȝt þat con not raue,
Saueȝ eu{er} more þe i{n}nosse{n}t;
Hit is a dom þ{a}t neu{er} god gaue,
Þat eu{er} þe gyltleȝ schulde be schente.",0.0,2f0951d903dfab6a,68,272,7,2.5294117647058822,0.0,0.03308823529411765,9.714285714285714,-1.888193277310924,1.888193277310924
d_gutenberg_accessible_0006,gutenberg_poetry_accessible_v0,30282,"Who nedeȝ schal þole be not so þro;
For þoȝ þ{o}u dau{n}ce as any do
Brau{n}dysch & bray þy braþeȝ breme,
When þ{o}u no fyrre may, to ne fro,
Þ{o}u moste abyde þat he schal deme.
to make men joyful or sad.]
Deme dryȝtyn, euer hy{m} adyte,
Of þe way a fote ne wyl he wryþe,
Þy mendeȝ mou{n}teȝ not a myte,
Þaȝ þ{o}u for sorȝe be neu{er} blyþe;
Sty{n}st of þy strot & fyne to flyte,",0.0,49cde7450235f372,94,380,11,2.606382978723404,0.0,0.031578947368421054,8.545454545454545,-1.9039896162068612,1.9039896162068612
d_gutenberg_accessible_0007,gutenberg_poetry_accessible_v0,30282,"“Wy borde ȝe men, so madde ȝe be?
Þre wordeȝ hatȝ þ{o}u spoken at ene,
Vn-avysed, for soþe, wern alle þre,
Þou ne woste in worlde quat on dotȝ mene,
Þy worde byfore þy wytte con fle.
Þou says þ{o}u traweȝ me i{n} þis dene,
By cawse þ{o}u may w{i}t{h} yȝen me se;
Anoþ{er} þ{o}u says, i{n} þys cou{n}tre",0.0,a0fe305c79b63d65,74,302,8,2.5675675675675675,0.0,0.039735099337748346,9.25,-1.9142674959727939,1.9142674959727939
d_gutenberg_accessible_0008,gutenberg_poetry_accessible_v0,41810,"dactylic:
Hìnche los | àires ce|lèst[e a]rmo|nía;
dactylic with two syllables lacking:
S[è o]ye á lo | lèjos tre|mèndo fra|gòr.
¿A dón|de vàs | perdì|da?
Suspì|r[a e]l blàn|do cé|firo.",0.0,ed8ffd95ea5f7fd9,48,184,6,2.4166666666666665,0.020833333333333332,0.03260869565217391,8.0,-1.923550724637681,1.923550724637681
d_gutenberg_accessible_0009,gutenberg_poetry_accessible_v0,30282,"The co{ur}t of þe kyndom of god alyue,
Hatȝ a p{ro}perty i{n} hyt self bey{n}g;
Alle þat may þer-i{n}ne aryue
Of alle þe reme is quen oþ{er} ky{n}g,
& neu{er} oþ{er} ȝet schal depryue,
Bot vchon fayn of oþ{er}eȝ hafy{n}g,
& wolde her corou{n}eȝ wern worþe þo fyue,
If possyble were her mendy{n}g.
Bot my lady of quom Iesu con spry{n}g,
Ho haldeȝ þe empyre ou{er} v{us} ful hyȝe,",0.0,7557ebae61fed93c,96,378,10,2.6041666666666665,0.0,0.026455026455026454,9.6,-1.9238267195767196,1.9238267195767196
d_gutenberg_accessible_0010,gutenberg_poetry_accessible_v0,30282,"Bot a wonder perle w{i}t{h}-outen we{m}me,
In myddeȝ hyr breste watȝ sette so sure;
A ma{n}neȝ dom moȝt dryȝly de{m}me,
Er mynde moȝt malte i{n} hit mesure;
I hope no tong moȝt endure
No sau{er}ly saghe say of þ{a}t syȝt,
So watȝ hit clene & cler & pure,
Þat p{re}cios perle þ{er} hit watȝ pyȝt,
salutes him.]
Pyȝt in perle þat p{re}cios p[r]yse.
On wyþ{er} half wat{er} com dou{n} þe schore,",0.0,47cc758252f1f752,99,392,11,2.6262626262626263,0.0,0.02806122448979592,9.0,-1.92450628736343,1.92450628736343
d_gutenberg_accessible_0011,gutenberg_poetry_accessible_v0,16059,"Su tròno esmaltàdo | de plàta y zafìro?
two in _arte mayor_ verse. Cf. _Fábula_ XXXIX.]
page lxxix
Soldàdos, la Pàtria | nos llàma á la lìd;
Jurèmos por èlla | vencèr ó morìr;
Serènos, alègres, | valièntes, osàdos,
Cantèmos, soldàdos, | el hìmno á la lìd:
Ya nuèstros acèntos | el òrbe se admìre,
Y en nòsotros mìre | los hìjos del Cìd;
Ya nuèstros acèntos | el òrbe se admìre,
Y en nòsotros mìre | los hìjos del Cìd.",0.0,9b14f7a4f9d75933,103,417,11,2.5728155339805827,0.0,0.04316546762589928,9.363636363636363,-1.928210899947297,1.928210899947297
d_gutenberg_accessible_0012,gutenberg_poetry_accessible_v0,33768,"Hum{us} q{ue}rit pl{ur}ima sup{er} humu{m} bona,
Hum{us} e{st} mat{er} tua, i{n} q{u}a sumas dona.
A{n}i{m}e sis famula s{upe}r humu{m} prona;
Domu{m} d{e}i p{er}petra m{un}do cu{m} corona.
Ops t{ur}res edificat ac castra de petra;
Q{ua}n{do} fatu{m} capiat, penora {sun}t tetra.
Whar of þou co{m} a{nd} whoder schaltou wend.
Make þe wel at on wiþ hi{m} þ{a}t is so hend,
A{nd} dred þe of þe dome lest sin þe schend.",0.0,83f04948cb5e29fb,108,416,9,2.5277777777777777,0.0,0.026442307692307692,12.0,-1.9423290598290595,1.9423290598290595
d_gutenberg_accessible_0013,gutenberg_poetry_accessible_v0,33768,"Cu{m} sit uesta po{n}ita, doma ta{n}git mentu{m};
Tu{n}c i{n} cute ca{n}dida verru{n}t u{er}mes centu{m}.
Whi erþ hatid erþ, a{nd} erþ erþ verrid.
Erþ haþ erþ, a{nd} erþ erþ teriþ,
Erþ geeþ on erþ, a{nd} erþ erþ berriþ.
Of erþ þow wer{e} bigun, on erþ þou schalt end;
Al þ{a}t þou i{n} erþ wonne, to erþ schal hit wend.
Hum{us} humu{m} repetit, & re{spo}nsu{m} datur,
Humu{m} q{u}are n{e}gligit, & humo fruatur.",0.0,88b2caca3a60e961,100,411,9,2.53,0.0,0.0413625304136253,11.11111111111111,-1.9470583941605835,1.9470583941605835
d_gutenberg_accessible_0014,gutenberg_poetry_accessible_v0,30282,"For I haf fou{n}den hym boþe day & naȝte,
A god, a lorde, a frende ful fyin.
Ou{er} þis hyl þis lote I laȝte,
For pyty of my perle enclyin,
& syþen to god I hit by-taȝte,
In krysteȝ dere blessy{n}g & myn,
Þat in þe forme of bred & wyn,",0.0,c50b827e0b56aec2,58,235,7,2.6724137931034484,0.0,0.0425531914893617,8.285714285714286,-1.9643674667225657,1.9643674667225657
d_gutenberg_accessible_0015,gutenberg_poetry_accessible_v0,30282,"Þat selue saré w{i}t{h}-outen sede i{n}-to þat same tyme.
Þe{n}ne sayde oure syre þer he sete “se! so saré laȝes,
Not trawande þe tale þat I þe to schewed;
Hopeȝ ho oȝt may be harde my hondeȝ to work?
& ȝet I a-vow v{er}ayly þe avau{n}t þat I made,
I schal ȝeply aȝayn & ȝelde þat I hyȝt,",0.0,1b09cdb978bc2aa5,73,288,6,2.5342465753424657,0.0,0.034722222222222224,12.166666666666666,-1.9684170471841702,1.9684170471841702
d_gutenberg_accessible_0016,gutenberg_poetry_accessible_v0,30282,"Al wer we dampned for þat mete,
To dyȝe i{n} doel out of delyt,
& syþen wende to helle hete,
Bot þer on com a bote as-tyt.
Ryche blod ran on rode so rogh{e},
Þe g{ra}ce of god wex gret i{n}-nogh{e}.
was baptism.]
Innogh{e} þer wax out of þat welle,
Blod & wat{er} of brode wou{n}de;
Þe blod v{us} boȝt fro bale of helle,
& delyu{er}ed v{us} of þe deth secou{n}de;",0.0,f56b906bdf597b3a,89,363,11,2.7191011235955056,0.0,0.03581267217630854,8.090909090909092,-1.9777234035967437,1.9777234035967437
